"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 29 15:43:35 GMT 2021","Thu Jul 29 15:43:47 GMT 2021","12144","","com.codecool.parabanktest.ParabankTest","","com.codecool.parabanktest.ParabankTest","testParabank","testParabank()",""
"broken","Thu Jul 29 20:48:23 GMT 2021","Thu Jul 29 20:48:23 GMT 2021","17","","com.codecool.parabanktest.LoginToParabankTest","","com.codecool.parabanktest.LoginToParabankTest","LoginTest","LoginTest()",""
"passed","Thu Jul 29 21:34:38 GMT 2021","Thu Jul 29 21:34:48 GMT 2021","9968","","com.codecool.parabanktest.LoginToParabankTest","","com.codecool.parabanktest.LoginToParabankTest","Login","Login()",""
