"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 30 09:39:35 GMT 2021","Fri Jul 30 09:39:35 GMT 2021","18","","com.codecool.parabanktest.CheckingTotalBalanceAmountTest","","com.codecool.parabanktest.CheckingTotalBalanceAmountTest","checkingTotalBalanceTest","checkingTotalBalanceTest()",""
"broken","Fri Jul 30 09:39:35 GMT 2021","Fri Jul 30 09:39:35 GMT 2021","14","","com.codecool.parabanktest.BillPayTest","","com.codecool.parabanktest.BillPayTest","BillPayTest","BillPayTest()",""
"broken","Fri Jul 30 09:39:34 GMT 2021","Fri Jul 30 09:39:35 GMT 2021","30","","com.codecool.parabanktest.OpenNewAccountTest","","com.codecool.parabanktest.OpenNewAccountTest","CheckingNewAccountCreated","CheckingNewAccountCreated()",""
"passed","Fri Jul 30 09:39:27 GMT 2021","Fri Jul 30 09:39:34 GMT 2021","7876","","com.codecool.parabanktest.LoginToParabankTest","","com.codecool.parabanktest.LoginToParabankTest","LoginTest","LoginTest()",""
